,1bgg_clean_site0000,1bgg_clean_site0001,1bgg_clean_site0002,1bgg_clean_site0003,1bgg_clean_site0004,1bgg_clean_site0005,1bgg_clean_site0006,1bgg_clean_site0007,1bgg_clean_site0008,1bgg_clean_site0009,1bgg_clean_site0010,1bgg_clean_site0011,1bgg_clean_site0012,1bgg_clean_site0013,1bgg_clean_site0014,1bgg_clean_site0015,1bgg_clean_site0016,1bgg_clean_site0017,1bgg_clean_site0018,1bgg_clean_site0019,2vy0_clean_site0000,2vy0_clean_site0001,2vy0_clean_site0002,2vy0_clean_site0003,2vy0_clean_site0004,2vy0_clean_site0005,2vy0_clean_site0006,2vy0_clean_site0007,3apg_clean_site0000,3apg_clean_site0001,3apg_clean_site0002,3apg_clean_site0003,3apg_clean_site0004,3apg_clean_site0005,3apg_clean_site0006,3apg_clean_site0007,3apg_clean_site0008,3apg_clean_site0009,3apg_clean_site0010,3apg_clean_site0011,3apg_clean_site0012,3apg_clean_site0013,3apg_clean_site0014,3apg_clean_site0015,3apg_clean_site0016,3apg_clean_site0017,3apg_clean_site0018,3apg_clean_site0019,3apg_clean_site0020,3wq8_clean_site0000,3wq8_clean_site0001,3wq8_clean_site0002,3wq8_clean_site0003,3wq8_clean_site0004,6t13_monomer_clean_site0000,6t13_monomer_clean_site0001,6t13_monomer_clean_site0002,6t13_monomer_clean_site0003,6t13_monomer_clean_site0004,6t13_monomer_clean_site0005,6t13_monomer_clean_site0006,6t13_monomer_clean_site0007,6t13_monomer_clean_site0008,6t13_monomer_clean_site0009,6t13_monomer_clean_site0010,a0a0h4nxh8_clean_site0000,a0a0h4nxh8_clean_site0001
1bgg_clean_site0000,1.0,0.26413197012036926,0.23749431862425624,0.19928691888860978,0.41318611743628664,0.21061597960857506,0.364454169575013,0.3937020816350933,0.3436170905004687,0.28125644932046,0.38844050242368694,0.39580030728786464,0.3341823772866183,0.4996781630978711,0.4048606310539264,0.1673186400907093,0.32523652783187224,0.25787846606432385,0.21375830780577978,0.41352925183333156,0.19104793832537045,0.4647344766206877,0.345037526765727,0.29002032017964907,0.28615703882660837,0.292020352995775,0.3050924882867883,0.544130179482975,0.37938600106918813,0.29422304773784247,0.41055871710973096,0.32766330130293075,0.2694432239068353,0.2766290785549275,0.40577042304026906,0.2785311001842213,0.06030986473327059,0.3549353995194468,0.214721295954806,0.3690990037772904,0.3595887404358158,0.2875090204015785,0.38472423380754833,0.2762845172689491,0.15606672592201307,0.2849901734017541,0.35479839163264,0.37232581991850744,0.27462104950631644,0.20012577749470392,0.18875228218482187,0.42891873867831165,0.31726204477670217,0.448429639169974,0.3116060125188817,0.470795330987267,0.2754414945407023,0.20715626865345765,0.27677180728141715,0.5309913703071556,0.2827557286937322,0.4079527129013261,0.07944651974950716,0.09788442708338926,0.3082720887764896,0.4854614009742583,0.5764174929114433
1bgg_clean_site0001,0.26413197012036926,1.0,0.2324918870847285,0.14267586408312719,0.3164912002584744,0.26259731337357806,0.1845720405730026,0.7857027824197631,0.43199413989109015,0.3079228705404392,0.3912870099840392,0.27358980497545604,0.4396721240933351,0.4155749871709175,0.25657122343942107,0.12260096115883634,0.7857006144043369,0.2278831110648909,0.29480050326984103,0.283561991175043,0.1911193415074758,0.10039419441610455,0.2786518820318882,0.0699797692332496,0.23890585748500442,0.4752785426964174,0.37895422577833554,0.30435305113388594,0.4782248533163025,0.2605508914753109,0.2480639194225115,0.1908159079616091,0.16840744528347143,0.26967028813624666,0.215128297797509,0.26314471741305184,0.15395106164061095,0.21202812840266091,0.2378178003646172,0.373963942614232,0.23010618052225515,0.2420055901829677,0.23323760422543077,0.11489512204353713,0.1932327743493037,0.28114553487832367,0.30856951711209774,0.27323485497600103,0.17913725698623464,0.1324237442475059,0.17676181450685446,0.2844657758191576,0.24845418687263132,0.17269761279249965,0.252553081185395,0.23556680243427677,0.12726243532997472,0.20084193127274516,0.14036456286776952,0.1366249776513371,0.3423160600529685,0.1380494896313778,0.19170390884409852,0.20063927470968385,0.2644714677091135,0.1429481667244739,0.1989887245545306
1bgg_clean_site0002,0.23749431862425624,0.2324918870847285,1.0,0.21180214640863756,0.3337600332920095,0.2032491196945346,0.549966444383561,0.3220695589474777,0.22034030057144363,0.2471212103194283,0.1734065997878645,0.22903947543115746,0.3821068345534656,0.35347053080401986,0.27736879387572716,0.3706885100007715,0.30793563743443236,0.3057467820796486,0.17789294795776614,0.3193940426710601,0.2607035648957651,0.22461282515394557,0.3090239096943881,0.3214827963774872,0.23706006348756753,0.23533977745128354,0.20082853967649175,0.24001542395847006,0.21128500682934212,0.42015054895767207,0.4329863607086466,0.22960896571654005,0.19768634980738797,0.20455733713641924,0.3087627803195718,0.20221015782918497,0.23114673198391456,0.294453719722077,0.2665926162590245,0.08427229992300489,0.23985360445023937,0.29695308199535775,0.22899931646573146,0.17719563177464245,0.23969864333417937,0.2986535934331758,0.3384825801009502,0.1510515683206273,0.26048151639601086,0.26186440145580636,0.3614130203070772,0.28933761486314985,0.21367655714970007,0.1708512946603131,0.3549661954882585,0.2762946098615145,0.12593534578417445,0.22203275676330514,0.36825246105430487,0.19241102594142553,0.3035501814360855,0.23092847665140082,0.12043099715708874,0.5128248802390413,0.15311103209788166,0.16493739670370783,0.28504690986944525
1bgg_clean_site0003,0.19928691888860978,0.14267586408312719,0.21180214640863756,1.0,0.2521435634189294,0.22074080653451872,0.23122801630434198,0.2548227054419301,0.2254884644814194,0.1842784006100729,0.2689114516577184,0.30112426689436705,0.4343027817660256,0.20033860958825955,0.26333999250207424,0.20256645739548756,0.24313860640560694,0.28927946665605386,0.24085136060103776,0.09878894977375627,0.26582258281557136,0.223043970572614,0.10734329906502597,0.08893381258153067,0.4717307374335373,0.3106220043895108,0.3021472460011137,0.43267946913297584,0.25317486019789465,0.1335776284645679,0.2140854239672456,0.20103673751687237,0.29168827168699146,0.4527590415382896,0.0,0.39464503053273053,0.15665061221705143,0.39655710285169105,0.2159213443729307,0.1635292792987266,0.18840579880924796,0.2345362753156585,0.4049622768106995,0.27982772242943527,0.3989717200327002,0.24258724679569685,0.2792476119302297,0.2928181964883261,0.19209514604047134,0.22988334926223872,0.391504647517429,0.30677114352226204,0.0698942303406169,0.21281440448020045,0.34258540822818795,0.1352565306644579,0.2792541389145467,0.23541229599692717,0.345426130433849,0.1803717835767123,0.16943710113523533,0.13222636289926426,0.29656603560271694,0.23842635065421233,0.2422298435807059,0.3130967784847317,0.3102703911308343
1bgg_clean_site0004,0.41318611743628664,0.3164912002584744,0.3337600332920095,0.2521435634189294,1.0,0.28664599354812587,0.1703060115053883,0.2555146992493805,0.17747820097762282,0.9333152650912149,0.17763070418215657,0.17704486454227059,0.41371555248453723,0.3826546913645066,0.2636696445552368,0.21410709186187116,0.30803396195473826,0.3980081026150807,0.8666352090798844,0.34608858041062807,0.1890924875855977,0.4316000592770391,0.22746352529931968,0.1723498532042731,0.3555066304007586,0.3652207427731869,0.28205145948683763,0.3419801287616443,0.16594050213277958,0.3534837952962103,0.11770916277235055,0.33776386398509384,0.19012015248731295,0.34782858332786243,0.3224801464492581,0.30361648812004166,0.30306278662803815,0.2855490577690839,0.045396597188540166,0.3739619210050632,0.1590505950376921,0.4411682766342609,0.3531130144685225,0.2959719565957567,0.2896749603748955,0.3199410136175716,0.24358213348538157,0.31649920831575973,0.15554502284704155,0.34490494912583564,0.24558377765404893,0.3644250266345294,0.19501101895710954,0.34059895147070895,0.29488287837183386,0.1298568501999207,0.14986758474670012,0.38955452292765624,0.23536204480518383,0.18150342243172668,0.3403641605119773,0.3382539462453588,0.21122037438622968,0.2584384545987011,0.23950676099953128,0.16801789045778556,0.47868579103381825
1bgg_clean_site0005,0.21061597960857506,0.26259731337357806,0.2032491196945346,0.22074080653451872,0.28664599354812587,1.0,0.24265941756838516,0.09988570574522017,0.3190262952537543,0.34681085821763835,0.4999786638451676,0.24564360558640744,0.29095994333373204,0.25249184255628637,0.19999594395584558,0.1596461976786065,0.39096119535476653,0.1250185119777127,0.17893227520131189,0.4999963417885483,0.16475543312768118,0.35968121506732154,0.31521097576617707,0.20333927480117028,0.23851496323248264,0.3573796717330317,0.3670568166955155,0.20343277774071317,0.37697855621419873,0.30279605889370986,0.31836575563972275,0.21069381879950094,0.12660043494791168,0.06818315890504098,0.2799301401664376,0.14112655290785286,0.17878981910988107,0.39483078880466116,0.0,0.28023614330921653,0.22673734959873068,0.23011921105607214,0.15286528792842485,0.3536885059903635,0.4036925324500844,0.2507944030836985,0.1492195249645354,0.0,0.07260869351587446,0.438441471434963,0.22170472274762204,0.19172036108117102,0.27262927042753243,0.1250463899772653,0.4594838284338779,0.21011318946619567,0.20768812012581606,0.36012326663444105,0.3526433361247584,0.262394615982309,0.42474921519486397,0.4506012895792295,0.2777686684481037,0.1707762419082139,0.26810587093065114,0.13720365378256136,0.0
1bgg_clean_site0006,0.364454169575013,0.1845720405730026,0.549966444383561,0.23122801630434198,0.1703060115053883,0.24265941756838516,1.0,0.19150426365859027,0.2030427625349426,0.21089331442441697,0.21480755871478144,0.13319475951349047,0.18210174784728886,0.16135679975470055,0.159678961574921,0.3120283813297481,0.19895128344262272,0.3689398533783039,0.3783283623047648,0.12469140254298061,0.4986397417188311,0.47230169170382114,0.6127705084486652,0.15784196780094037,0.3367993563669091,0.23842743592812823,0.14168539268084548,0.4658925442015687,0.3470525205085985,0.34326078128901627,0.4393317676239694,0.2983481807670997,0.1619138845280809,0.14714445085861402,0.3292109951137574,0.30807153172862445,0.5739309134702373,0.48955765632154113,0.27456813099391486,0.5017461653651499,0.4062409968249587,0.3472954978061771,0.3456822872256306,0.3042444544014417,0.3643668620259455,0.32750895701918986,0.327060852192868,0.27994042692729687,0.2175208030258398,0.20781572993949582,0.38067490575895785,0.31375008327339776,0.2385549046534964,0.42195917671941247,0.4318450024452369,0.33988454255871253,0.3175070943266558,0.6156104592666768,0.12469446742253236,0.4240776451049857,0.3222532655983147,0.5300864353756736,0.12394855744955231,0.21069095425869297,0.23364145787520793,0.3795865315137188,0.2121618632537585
1bgg_clean_site0007,0.3937020816350933,0.7857027824197631,0.3220695589474777,0.2548227054419301,0.2555146992493805,0.09988570574522017,0.19150426365859027,1.0,0.23275108685673804,0.3475332906672134,0.26265294029115893,0.7856886762539563,0.1887365451700973,0.30808984976249026,0.3939643686049087,0.15297104836543557,0.27377858471114097,0.2947589670686588,0.17722617859729725,0.24538951286704677,0.3723155384965029,0.22446563930881178,0.36712486538406125,0.232019567634661,0.21232595538791213,0.2869185236836035,0.20250605723166745,0.2571814169623533,0.23166174199092548,0.04715226586732214,0.2836677099389345,0.3796216353416543,0.1094049165065922,0.25155548671452144,0.40653196383186696,0.45864858599226865,0.27585815319951534,0.2647469112889305,0.1949982832427735,0.19713452679735669,0.2542121769575869,0.22920032251593395,0.28898703224825667,0.25533984581183117,0.3147685609206739,0.2995174477503442,0.263540495631077,0.29119124632024157,0.3635383477492791,0.3106933927842306,0.31854499878975895,0.3014615617955247,0.22227256312534416,0.2543391402908681,0.19925734044480345,0.23622089873947022,0.2983386595321423,0.252464597447822,0.2997191190091482,0.291741495573874,0.30466655001700804,0.22264339852156204,0.1703594991323872,0.20286830769678052,0.27054591834339864,0.3755686394426369,0.26038654150776425
1bgg_clean_site0008,0.3436170905004687,0.43199413989109015,0.22034030057144363,0.2254884644814194,0.17747820097762282,0.3190262952537543,0.2030427625349426,0.23275108685673804,1.0,0.33386552292120497,0.29925457069419514,0.28517227939435863,0.2578116019723194,0.45209396529783563,0.1847459633136629,0.34114380935811134,0.22911468704281956,0.4105145724302927,0.35356133931792244,0.27180037636670856,0.3420517287265382,0.16868234569307036,0.2716515481851881,0.2557030192351301,0.4432410865727365,0.4617268140764637,0.07404406186731066,0.28497380253012433,0.195718468580402,0.41678112575151377,0.40645841533822424,0.45052503452425857,0.2434553449376017,0.11653806031393127,0.24901614881176048,0.24975049979562775,0.26376082964242475,0.6807725972294397,0.18829117928128064,0.11085174727260386,0.3039905200364246,0.537725931015401,0.08500553252762802,0.12062629191488583,0.31212120600238596,0.15591259949310082,0.44300797892907057,0.19158179217592544,0.21626283410043098,0.2317300959330729,0.42946129660798604,0.21818416537548818,0.033394878619799694,0.2934979904793887,0.3022352904564609,0.21140257831792358,0.19586079148858646,0.25065371954687066,0.2699242119981367,0.1977863571582589,0.3373514330574384,0.4443250484835823,0.11927573531013672,0.478360243043621,0.18954741618941748,0.16129340754376176,0.36566887254732816
1bgg_clean_site0009,0.28125644932046,0.3079228705404392,0.2471212103194283,0.1842784006100729,0.9333152650912149,0.34681085821763835,0.21089331442441697,0.3475332906672134,0.33386552292120497,1.0,0.28650578448558073,0.2558191297500053,0.24364687790197898,0.9333105916372904,0.1780682269437478,0.24067781830470653,0.41600780084199857,0.4331349546241094,0.3828569857260954,0.2523544219919945,0.24060422083954353,0.14575040082362772,0.1845366994760103,0.32042209395516746,0.3175162194283454,0.1437070799129539,0.41874452508310406,0.16530108553072267,0.2781575849533578,0.3646367542056046,0.12988889536687406,0.28947659286971733,0.06413413439543643,0.23026901185792606,0.3881961016756883,0.24341031548257502,0.1650986013691712,0.3920981998276215,0.18437459810472362,0.2910818780532423,0.091615672308132,0.4756576333145368,0.18795291327772765,0.34029944903672976,0.19813793431967136,0.2445501786667925,0.30666511497228693,0.365294896434558,0.2321993510194728,0.2668488864976879,0.25981249067534884,0.2009651447534085,0.25374567008451765,0.30865145916332304,0.21261586243383396,0.43093417191035827,0.17933705577859868,0.32763842029013923,0.4122646385489907,0.3391799275052182,0.2522538365796167,0.15774697608515556,0.10950645814851757,0.20020952705900982,0.20122932561630152,0.11810344810139355,0.41976667770324466
1bgg_clean_site0010,0.38844050242368694,0.3912870099840392,0.1734065997878645,0.2689114516577184,0.17763070418215657,0.4999786638451676,0.21480755871478144,0.26265294029115893,0.29925457069419514,0.28650578448558073,1.0,0.09984128798374545,0.31820931911020744,0.3461545314226463,0.4968444332557859,0.17933720477700524,0.24550274137664027,0.23452269362428263,0.2523226807620301,0.19999292118475537,0.23530541392967352,0.2384576839052503,0.3679751711647528,0.24678538493373758,0.29277218658103354,0.431305085124988,0.1927589350614118,0.3050502500448426,0.3172412554089924,0.09936224461823373,0.3756607454387841,0.056973542439091494,0.35572856866205316,0.38459017473659063,0.0,0.2524253182239138,0.17873391535078847,0.3458324631760187,0.23987163659461214,0.2293378393830583,0.300370593577702,0.20778498084535113,0.11587906884567652,0.20687132837800948,0.3120632749248305,0.1454524114396194,0.1037416348586943,0.24141528502177714,0.24581963161504755,0.24039232376098477,0.35208111707589146,0.21505100773140007,0.0,0.23749703513684803,0.2348683425130919,0.1869661177577615,0.2713802129045588,0.14880070922510522,0.36135280531241276,0.24534506108490076,0.330246638890864,0.15541639050415365,0.24444038415901054,0.07687747608731332,0.28140494150602946,0.19350263824165045,0.1559160249450144
1bgg_clean_site0011,0.39580030728786464,0.27358980497545604,0.22903947543115746,0.30112426689436705,0.17704486454227059,0.24564360558640744,0.13319475951349047,0.7856886762539563,0.28517227939435863,0.2558191297500053,0.09984128798374545,1.0,0.2668436081708742,0.3169340711177057,0.27396309263759616,0.11340371698063946,0.7856986036076429,0.195529256901725,0.3082736382198279,0.48542649080207856,0.4257919337719594,0.22301703141456927,0.21497822178343884,0.27729383700407756,0.2858969928675303,0.16111981664730335,0.2792543533347727,0.21431112116053477,0.44902606830261627,0.42038780924993346,0.19535663978968792,0.2852152205702351,0.05748021752286318,0.3666969340051917,0.3012679085290726,0.10371524987490592,0.22439950032964243,0.2219414880155714,0.1342217760450088,0.1920518913942622,0.41322634542561937,0.3359024570501154,0.19311267298647186,0.24875885692581615,0.29517506292281764,0.2782357267242453,0.2930700524238955,0.25390236874231914,0.26017786361869966,0.38741400760214767,0.18328434343755984,0.3178737825453262,0.06384811890851756,0.2864281183469601,0.16162083014791814,0.1232677494087445,0.10644128125021265,0.19868091699222318,0.3781679959492517,0.20174859233604808,0.25421488254421987,0.23961348596059936,0.23647569221298673,0.2400669176654487,0.2494115667617197,0.2211234201822598,0.5091598488866937
1bgg_clean_site0012,0.3341823772866183,0.4396721240933351,0.3821068345534656,0.4343027817660256,0.41371555248453723,0.29095994333373204,0.18210174784728886,0.1887365451700973,0.2578116019723194,0.24364687790197898,0.31820931911020744,0.2668436081708742,1.0,0.21785975499527327,0.1958442739289401,0.49848038888793983,0.2792212126573573,0.24892789855708558,0.3876747753241763,0.12471939681555813,0.26523681470687505,0.2755858116950578,0.18938998333963053,0.2137953054356503,0.2358297249733675,0.33446985562390924,0.1369511794603934,0.35506192865893305,0.23232800567270967,0.25002546146277826,0.334763444206884,0.2824786517989621,0.257196578886841,0.34373879953217146,0.4572668659831502,0.13395397159936015,0.19415297360590691,0.3149726399552391,0.32343946736949886,0.25025144846694525,0.2659397050027431,0.5740669086893827,0.21406013498974075,0.3175754580555166,0.32391443591319885,0.3963785947771639,0.2345270185424584,0.14439308612432172,0.2511563500292742,0.2833495480888009,0.3644484351900296,0.4440820643286253,0.1926649259896906,0.26104655872909976,0.3408733436778759,0.17201147943815692,0.2534169109561346,0.23146310062051964,0.3065760872346856,0.3807134398678333,0.24427130798404237,0.46272479838787733,0.08709552392131897,0.33434426520630384,0.28248165408053993,0.12954430080356746,0.2567083986880218
